Class;Qty;Perc
NA;1073;65.0
ECO;255;15.0
SAA;182;11.0
SMTO1;36;2.0
SMCN2;35;2.0
SMCN1;33;2.0
SMTO2;26;2.0
SMTO3;21;1.0
