sessionID;TotalTimeHH;TotalTimeDD;CaseLength
3UXLEGxX4oAsMQcyFWYvjcMZpQtfYzgkR21HWFtftLfIy4s0bAw5IlxukUhkBqT6fQzYwchKMQCYs9Be5FvLLrdreEaWsbpMfsbpcENiCv1jVCgKHq4sH9fqOUrHbBupERfW7uIB9qqdMA9jKG1yFY;0.0;0.0;1
3fCn23JMudPTjMP0seVvIPIY3LDIcgZ8acoJ3rE4Fs54K2e0V983vhiUD3TzTYsYcLezysKI8PANQU850w12yOScVXopop7Y5vutavUqFu0yl617eC0pXoUHeWQBZGb1FwW2GberkPBg1enseUWZ4t;0.0;0.0;1
3gUNm8hVx8WoEcGIKcYLJpb4XQ08z0OoLeNExH2Pe5FNI9K1dxwulRUjcFnJzbsUuwWvFOGCxuaGKrCdk8PEa0GfJ1UBxi8rhDmOuG7P9WnEYurn7IW2Y1I9t2X5KdbD38JQXw6GbKFgG5i9dAf2tk;0.0;0.0;1
3qTKw3iVQL7wSqvzFRwu4KWhp5968s0enST6mOa3Gi5vpzniyTcdhEBwSYomCg0TpJWCM30CT5kZQI8ymdGSZZoLzDbweZrS8pB1I18lOUHtR1KSY7T1eON9PlTDgffHxfQ5tAiyDlrVyQ2QxomGqZ;0.0;0.0;1
3qawXBkGmiOrNrtPgIGdjixDn5HVzqhDGWRgY6lHQfT9X1y09jpUQfbarjZgv3RqFNmlmvgFXbnw44nQi402OTTvWqvzVss6cGitPyY3gIgiXjqhhThGuBj5BT2YuL2GavbaGNfL37qD18oS0iq6JG;0.0;0.0;1
3qb7PVXyjFvHxpeZnh7hipGALINzGEmqbie6B1SlfjSgt8GuhdsktJCY3d66h58irFtcfXbjMTRmVZySykjQdKB2Upfm4woONUPsbi9lC2ehhgV4t6MHI9imFdivTb9j9mWfqzAWSpzCbpRSrGxVhb;0.0;0.0;1
49PU3CWNqSOwWv6mj46IcfUUjQRuS3kPgP3pq82D5NYMUtnYNuSujeqb8fMPHb2Fr4nE8arhf0w54xbZPhpbP4FZHSsuXuDedYqe2MtN7bOum26i7UDLZogzsvFTcOngmHoTeSBrKsuSNTICVpp3rH;0.0;0.0;1
4CVHSHimxFgGWfBMX1vTfJl4UwqVl5yYm3vGakCgi9ZbzRgJ6FCS9eM9Xd8agmIoerc75AyD1097lWh2iNeDq2oa4lQYC2qybR9sxXI6yo0DuAwrPCgjHbro7qbo7tNuziUNOSP9awHXztpAq6zqZ8;0.0;0.0;1
4Up40Q5P4wIW7mw3IkIKkk4zxEZTtUSnoAzRfTKp8VDTwYTzEY3tuEimguS8tlzbx3ZVIy80vZP1HCKNzdO1C7DzrG18UelKZAQZ7NrYmBAwl1l0kZqivMyI8a2Gt3zqrX7DpbpO6CRh9s7IkQWpFG;0.0;0.0;1
4hz8WhAcWn2QyigLEJQVFhXoDu0P8sn0h4KDhMVmrZsx67sBozgQuZs3jLxeSrOqaklIBizoi4egUBYWhdCzakfsPbfoh4hFx1eOYV5xHa4duJ740ujM16imYmDRZwQ8eRlEDRm5kodzPUeMEMwj18;0.0;0.0;1
4nNMnaLBOrjgT8H0LHMnkbCq91sIRPinhIWZ9bPKSXt8l32QQkSy8HTycQIUy3yfMdMcRgWCQ6ILPde1CW3VFbSHVtJMl69tvFEXOOylSLM7f2z8h57Q8ZI2EIYgoqE4KgVt0AtEbnezMGCyaRJKD4;0.0;0.0;1
4vgbVnqMuizeNYFUiRzx1FDYL8k2ucX4ni0mYhTED5UmGgyNLvKoDwjwXkG3NUaXK5EwaCRxCPR7Iud5UsZ7vojnXLQDEHpdGCGyX03R9PyixdYfNZoWKgFhDjtBH3xa9NRdlhw9PCxmU65gKQpO7a;0.0;0.0;1
58BpYqYxDThy4EVYIMLYD3q9JUCMPrRK5Jkz0Ps17A1PCCad5kZFgkCU5F8hpK58SBC2fWWoMxTB1SE6ZkChnJ5W0U3He1PRgApHJLheBoRGm1KHNEBFNwWDBQWFrmlbqyYPqSP5nbt5K19D2U9IHW;0.0;0.0;1
58x3oLeZe2M3nYbYcBV6SUILXu0RavdN9iIl909tvRLauyIpRXmkz0ovmWTZ8IW8JeLmJiWXuDGQhNQ47pnGW0eMpn6ZXcK36s2KUsSpi84eO6EPoLGyt6w62LDfULT1DxfVnFCJll3B4Hc8e5hFnY;0.0;0.0;1
59gZ1EGIjiJWr21LtzUu5MQvr7JVEFWbvOAZR7Qt0d9O75WLWRs39qlVvE01k5pMpS2n0ywiMr7ErmTQOWOuEVQwjpLaY5zM6Zzo2hScG0zqFUoTKCBuCW6FezHnai3eBfDvvX3RNnW2507BTenEj4;0.0;0.0;1
5BxIwpa3TLQtMTsUT8whTyif3TFf22TH5p7uTSQ7jdJmDHwQsJmNYI1yu7NZf7WKoEt2aSOGFsyDwMOfUgldUfxhhXq6tLBCngwHG3lk9qyKkli8swMWF2ScBVKL0OtWQf05YxlcFdpVHNyfPPRVZr;0.0;0.0;1
5F9YHlTnQsG7guCGoQhg8glmu2ORPQkjJwCIllWa6xMOYDd1aYFzeMhPCsZ8XIeznUTQTAYRjleuUzHbd0WJbQeYfyXCdIyEthm2vLN1Jo6WLowcpBt71SA3BfhAex7dvc7bj7P4GRrrPDgVxjeql8;0.0;0.0;1
5PxVFvZSo7bt8oQyo8jcZyX1suajPYrXyIFq2JHsZV27dE69rqWygtwLzFSslyY1JxbFaUumpTVZ0fyzCkM2N11GDOiwDhjl0Nx9XDcFmAG5uwq8tL55XMH9LJyvsTPnLfdiEYmJG7Iuq8ytEhKXMs;0.0;0.0;1
5RNzHu9gBfzVii2f2HYHHeTbT1nwdztelzHDvPoX74twDqXLceDIFqerFducisSOm3Il3YnknoytFdm9PnWWD0DY3Uh6lQK76OQlGOugpbql9blOgVynZ8fHUkgQVFsOOBvELnP2p9zHWo1LRFoo5B;0.0;0.0;1
5Sj3SwcpB0ANCJD2E7p7g8EVJtxNDMNm10Kh0bDI94h6XahwvKOzfOCoiPMqohCFLXtJzrl1GC8mscIYdgQZbHI7q1Zm8ITfR3rML4HKio1bCAB49y78bctppEBcWDI3T3VD70g4A1YaVJxKyP40wv;0.0;0.0;1
5atO6Em3udUxANAkFgPdgSPXVljjcOLnx0JYYhGrUmgKqyHNEMgh1XLdXy0xJhQELvSbFrQ8yF2xTFS9p5xschb08F4TxFxkznrHtiqLykRywEnqO46rSF9NJtBDQAMs9SS9vizEhhfVOaCyjaY9gP;0.0;0.0;1
5bohnSqZiMaOqoyf3RWA4EnJ7Sl6ZnvjvgDcIPt7uvfLLybJwSesWtKBqPElvsmAuBNiAmEyDjzjlezLwIAA32wgtOgDomq5z27hB5yaMOiRWpg8uVvjTUsjTNRYiw8BanDubc5hP2bvz5cNm5NwTE;0.0;0.0;1
5k2xmebWyqKzleJvcVpR732OJ0Z1T5aXzhdyKHexpJciUiJh02ZcRdQCLcBm3ZYqNBn22ImB33gjsaQ7D2wHkDBLy3dXh0LFYogcPeQz5Jml0rbJA4qgwq1BGGc7iukLmVxh8690nqoad9wsK8Qaxl;0.0;0.0;1
5w5ODtUwVLbEMQKYKmj4bQvIDuQAvhn6uAxdZzDiWxdZjGS8gWJTNOqrpgHVAIjAWmU7KAz3CNzkNWDux6Gl1fHujcC4FwFfXXiZErmFoONlQLvNXYOVhBQQxtN2G4DkpU6L7zLcpGYvteYNS0Hyke;0.0;0.0;1
5ylvxbNonQS5xSYNPMtZHWHDE8AdNEBG5sBtL8t3GevaYeDzjFgIUzesx6eRkncTTJkRc788akbat5gIpJChumLzIypQ1tRrLvYTfqInyFdzfEQTIvvqQk682TzvCKStuadBirRa2hZb14699ev3Ks;0.0;0.0;1
63VOtZC0sWTlqC2MosaZTLDqXNlgO71a5YOR8aowuzVEIReK7V7U34mka20NZ7NAKv2DQxP1GkT9LVHVFvxKWZqDrRk7Z1X0DrZArcN7g8MRYDvf0V4pAt1vyz6inWwW5uYyTru1P4vWizOFNN7WVJ;0.0;0.0;1
6HM2sp1OpGyvh53eLvHVEtQbtzZi44UaQYNeiIC1yBOfUVYDobHmN0sLDelqWSsnv8XeiHLWnsNIvggKqoluo0zVC2kz5lAGTsFRcsZEoJ8WOWGfCcyD5aw6w4YB4mDmK7V0ZyVVP5PwKYq0olgT11;0.0;0.0;1
6NVGiKWSGRJQeYF8UrYE5h8g38pmF3wUI2CIp9j9oFhn3qqJfv1ahKL2xEkFTxJ81WbHXS5vfmqENn5nu4OvQWOGLCaXihjrjp7laC9gWmErIkGS605o0HTMnsxHfoKu7NBed58OSnGKy6MKPGoFKG;0.0;0.0;1
