QuizSessionCount;SessionCount;SessionPerc
0;25;2.75
1;4;0.44
2;16;1.76
3;63;6.93
4;50;5.5
5;50;5.5
6;28;3.08
7;32;3.52
8;29;3.19
9;57;6.27
10;552;60.73
11;3;0.33
