Class;FN_N;FN_Q;FN_A;FN_C;FN_I;FN_CT
SAA;1;1;0;1;1;FA
ECO;0;0;1;0;1;SA
SMTO1;1;1;0;1;1;M
SMTO2;0;0;0;0;0;L
SMTO3;1;0;0;0;1;FA
SMCN1;0;0;0;0;0;L
SMCN2;0;0;1;1;0;FA
